postcode,name,address
BD5 0AA,Cafe D'Or,"1-3 Little Horton Lane, Bradford"
LU6 1LN,Sizzler,"110 High Street North, Dunstable"
LS6 2PR,BOOZE CREW LEEDS,", Leeds"
LS28 8ED,Rana's 2,"457 Bradford Road, Pudsey"
BD4 8QA,Pizza Romana 55,"55 Sticker Lane, Bradford"
LS10 3ST,Pizza House,"34 Middleton Park Road, Leeds"
LS2 8NL,Big Bite,"Merrion Centre, 41 Wade Lane, Leeds"
LS9 6HU,Comforts Express,"430 Harehills Lane, Leeds"
BD3 8LG,Gelato Passion,"1246 Leeds Road, Bradford"
BD4 9SA,Adeel's Spice,"56 Broadstone Way, Holmewood"
BD2 4QF,Nafeez,"461 Otley Road, Bradford"
LS13 1HU,Indigo Fusion Express,"2 Rodley Lane, Leeds"
LS28 6ES,Shalamar,"139 Town Street, Stanningley"
AL3 8PJ,Markyate Spice,"73 High Street, St Albans"
LS28 6ER,Mister Khans,"162 Town Street, Stanningley"
LU1 5BD,Raj,"37 Adelaide Street, Luton"
LU1 3EU,Pitza Pizza,"68 Park Street, Luton"
LU1 5DA,Peri Peri Original,"24 Chapel Street, New Town"
SG4 8QB,Kimpton Spice,"6 Coleman Business Centre Claggy Rd, Kimpton"
LU1 5AA,The Original Hot N Spicy,"69 Wellington Street, Luton"
SG5 1NB,Eat Well,"103 Bancroft, Hitchin"
AL5 2SX,Papa John's,"28 High Street, Harpenden"
LU2 7NB,Southern Fried Chicken and ...,"4 Stockingstone Road, Luton"
AL5 1QQ,Rice and Spice Indian Takeaway,"125 Southdown, Harpenden"
LU2 7SL,Baltistan Restaurant,"317 Hitchin Road, Luton"
LU2 7UG,May Sek,"630 Hitchin Road, Luton"
LU3 1PB,UK Peri Peri,"56 Bishopscote Road, Luton"
LU4 8HZ,Spicy Chicken,"64 Leagrave Road, Luton"
LU1 3UB,HB Curry,"2C Windsor Street, Luton"
LU1 1SE,Dial a Kebab,"29 New Bedford Road, Luton"
LU3 1AN,Grill Hut Peri Peri,"117 Biscot Road, Luton"
LU1 2QP,Karam Express,"14-20 Gordon Street, Luton"
AL5 5AJ,Balti Village,"93 Lower Luton Road, Batford"
LU1 2SE,How Cha,"34 Chapel Street, Luton"
LU1 2NJ,Luton Kebab House,"51 Guildford Street, Luton"
LU1 2QT,Gio's,"10 Dunstable Place, Luton"
LU3 2QQ,Pizza and Chicken Time,"163 Marsh Road, Leagrave"
LU2 7UG,Jayraj,"636 Hitchin Road, Luton"
LU2 0JG,Xpress,"76 Hart Lane, Luton"
LU1 5AA,Cafe Shimla,"76 Wellington Street, Luton"
LU3 1RG,Lucky House,"376 Leagrave Road, Luton"
LU1 2EP,AFC,"47/53 Bute Street, Hart Hill"
LU1 3EY,Meahs,"102 Park Street, Luton"
LU3 3BJ,Famous Chicken Peri Peri,"27 Sundon Park Parade, Luton"
LU1 1EH,Man Ho,"72 Dunstable Road, Luton"
LU2 7UG,Stopsley Cuisine,"616 Hitchin Eoad, Luton"
LU1 2QH,Steakout Luton,"52 Wellington Street
Luto, Bedfordshire"
LU1 3HG,Wamimichi,"83 Park Street, Luton"
LU4 8JJ,Peri Peri Original,"180 Dunstable road, Luton"
LU2 0DQ,China Cottage,"86 High Town Road, Luton"
LU1 2EP,Desert's Rose,"55 Bute Street, Luton"
LU5 5ES,Istanbul Take Away,"4 Bedford Square, Houghton Regis"
LU1 5AA,Tops Pizza,"63 Wellington Street, Luton"
LU3 2SZ,Mogul Tandoori,"68 Calverton Road, Luton"
LU3 2QG,Southern Fried Chicken,"179 Marsh Road, Luton"
LU2 0JG,Master Chef Indian,"76a Hart Lane, Luton"
LU1 1EW,ALA Deen Curry,"114 Dunstable Road, Luton"
LU4 9PG,Peri Bite,"3 The Green, Luton"
LU6 3RZ,Curry Samrat Grill City,"29 High Street South, Luton"
LU1 2AN,Creams Cafe,"2-4 George Street, Luton"
LU6 1JF,Maharajah,"77 High Street North, Dunstable"
LU1 1BT,Ice Box,"175 Dunstable Road, Luton"
LU3 2RW,Rogon,"2 Archway Parade, Marsh Road, Luton"
LU3 1AW,Jerk and Peri Healthy Grill,"157B Biscot Road, Luton"
LU6 1AU,Chicken and Pizza Hutt,"208 High Street North, Dunstable"
LU1 4EE,Cafe 7 and Pizzeria,"7 Manor Road, Bedfordshire"
LU6 1JL,Fast N Fresh Pizza,"109 High Street North, Dunstable"
LU3 3AZ,Adhira Nights,"4 Ashwell Parade, Luton"
LU6 3SQ,Anarkali Indian Restaurant,"101 High Street South, Dunstable"
LU6 1DA,King's,"5 Houghton Parade, High Street North, Dunstable"
LU4 0QQ,Ginger n Wasabi,"92 Tomlinson Avenue, Luton"
LU3 2RW,Papa John's,"7 Archway Parade, Marsh Road, Luton"
LU6 3RZ,Southern Fried Chicken,"41 High Street South, Dunstable"
LU1 4EE,Spice Of Caddington,"23 Manor Road, Luton"
LU3 2HX,Miraj,"249 Birdsfoot Lane, Luton"
LU6 3SF,Chula,"55 High Street South, Dunstable"
LU4 9JU,Leagrave Fish Bar,"11 High Street, Luton"
LU6 1JF,Mr. Pizza,"57 High Street North, Dunstable"
LS15 7DG,Moonlight,"8 Woodland Hill, Leeds"
BD3 9TY,Pizza In A Cone,"794 Leeds Road, Bradford"
LS15 8BA,Nawaz Restaurant,"51-53 Austhorpe Road Crossgates, Leeds"
LU4 0QL,Roosters Grill House,"97 Tomlinson Avenue, Luton"
LS9 9LN,China City,"222 York Road, Leeds"
LS11 7DJ,Grill and Chill,"332 Dewsbury Road, Hunslet Carr"
LS1 6PG,Rajas,"13-15 Grand Arcade, Leeds"
WF17 8LL,Harry's Takeaway HMC,"523 Bradford Road, Batley"
BD10 0EQ,Greengates Balti and Pizza ...,"6 Ruswarp Crescent, Bradford"
LS2 8JE,Nash's Fish and Chips Resta...,"17 Merrion Street, Leeds"
BD3 9QX,Mahmood's,"368-370 Leeds Road, Bradford"
LS9 8LH,City Pizza,"5 Easy Road, Leeds"
LS12 3DS,Winwin Express,"26 Whingate Road, Leeds"
LS7 1AB,Lucky Star,"12 Manor Street, Leeds"
LS1 4SP,Cantinho do Aziz,"1 sovereign place, Leeds"
BD3 9DA,Khawaja Chicken Bar,"2 Binnie Street, Bradford"
BD3 7DB,The Raj,"1053 Leeds Road, Bradford"
LS11 7DJ,Raja's,"332 Dewsbury Road, Beeston"
BD1 4HR,Bianco Express,"31 Cheapside Road, Bradford"
LS10 4NH,Good Fellas,"4 Bodmin Crescent, Leeds"
LS10 1PJ,Mumtaz Leeds,"Unit 1-2 Mackenzie House, Chadwick Street, Leeds"
LS13 3EG,Cardamom Black,"304A Stanningley Road, Leeds"
BD3 9DB,Rawal China Chopstix,"250 Barkerend Road, Bradford"
LS1 4BB,Hot Stuff,"83-85 Swinegate, Leeds"
LS28 9AY,King Curry,"138 Lowtown, Pudsey"
LS15 7JR,Spicehouse,"249 Selby Road, Leeds"
LU3 1JD,The Grill Hot and Spicy,"220 Leagrave Road, Luton"
LU2 0SJ,Somerset Southern Fried Chi...,"270 Crawley Green Road, Luton"
HD4 5AP,Pierre And Ndompey Sandwich...,"177 Blackmoorfoot Road, Huddersfield"
LU4 9SE,Bonitos Peri Peri,"82 Roman Road, Luton"
LU3 3AZ,Village Pizza and Chicken,"6 Ashwell Parade, Sundon Park"
HD5 9PL,Rawthorpe Fast Food and Fis...,"59c Bradley Mills Road, Huddersfield"
HD1 4LQ,Kabana Express,"39 Westbourne Road, Huddersfield"
HD5 9XP,Waterloo Fisheries,"595 Wakefield Road, Huddersfield"
HD1 4LF,Pizza Cucina,"86a Westbourne Road, Marsh"
HD4 5QT,King Fisher,"338 Black Moor Foot Road, Huddersfield"
HD7 5QQ,Fortune Cookie,"1006 Manchester Road, Linthwaite"
HD1 6AJ,Icestone Gelato,"Unit 21, Viaduct Street, Huddersfield"
HD1 6HY,Kobane Restaurant,"8 Bradford Road, Bradford"
HD4 7QF,Spice House,"7, Waingate Berry Brow, Huddersfield"
HD1 2PY,Ugarit,"7-9 Cross Church Street, Huddersfield"
HD9 7JR,Lucky Garden,"1 Penistone Road, New Mill,, Holmfirth"
HD1 2RD,Grill Bar 332,"27 Queensgate, Huddersfield"
HD1 2JY,Alsham Pastry,"Unit 2, 8 Macaulay Street, Huddersfield"
HD4 6JE,Newsome Tandoori,"5 Church Lane, Newsome"
HD1 3SR,Yorkshire Tasty Food,"18a Kingsley Avenue, Huddersfield"
HD4 5RL,Spice Ranch,"279 Blackmoorfoot Road, Huddersfield"
HD9 7JT,Spice Fusion,"Sheffield Road, Holmfirth"
HD9 2JR,Raaj,"5-7 Huddersfield Road, Holmfirth"
HD7 5QQ,Didi's,"1008 Manchester Road, Linthwaite"
HD1 5BS,Uncle Harry's,"Cambridge Hotel, 4 Clare Hill, Huddersfield"
HD1 3JA,Eastern Delight Tandoori,"170 Manchester Road, Thornton Lodge"
HD9 4EU,Meltham Spice,"2 Wessenden Head Road, Huddersfield"
HD5 9XW,Pronto Pizza,"517 Wakefield Road, Huddersfield"
HD9 3AZ,Holmfirth Spice,"67 Hudderfield Road, Holmfirth"
HD7 5JS,New Slawit Spice,"4 Kiln Hill, Slaithwaite"
HD4 7EX,Netherton Spice Corner,"320 Meltham Road, Huddersfield"
HD9 4NJ,Luigis Little Italy,"17 Huddersfield Road, Meltham"
HD9 4EU,Munchies,"4 Wessenden Head Road, Holmfirth"
HD1 3TW,Venice,"6 Swan Lane, Huddersfield"
LS8 5PL,Raies Restaurant and Cafe bar,"162 Roundhay Road, Leeds"
LS14 6AA,Jinnah Leeds,"845 York Road, Leeds"
LS1 5DQ,Mill Hill Kebabs,"4 Mill Hill, Leeds"
BD5 7HF,Icestone Gelato,"Unit C Springmill Street, Bradford"
BD10 0JJ,Tasty Bites,"107 Ravenscliffe Avenue, Bradford"
LS15 7RN,Mario's Pizza,"1 Chapel Street, Leeds"
BD3 9DB,The Steak Hut,"254 Barkerend Road, Bradford"
BD3 8LF,Chopsticks Halal Chinese,"1288 Leeds Road, Bradford"
BD2 2DW,Krazy Chef,"57 Victoria Road, Bradford"
LS28 7BQ,Funky Shake,"13 Lowtown, Pudsey"
LS13 3HN,Tim Boo,"Fairfield Avenue, Fairfield"
LS28 9AY,Marlo's Pizzeria,"138 Lowtown, Pudsey"
LS18 5JY,Gazi's,"Horsforth Hall Park, Leeds"
LS11 7DJ,Brooklyn,"330 Dewsbury Road, Leeds"
BD7 1NX,Bombay Bites,"Bombay Buildings, Shear bridge Road, Bradford"
LS15 7JX,Stazione Pizza and Sanam Balti,"18 Station Road, Crossgate"
BD3 0HY,Choudary's,"185 Otley Road, Bradford"
BD4 8ET,Immy's,"4 Tyersal Road, Bradford"
LS2 9DT,La Besi Restaurant,"211 Clarendon Road, Leeds"
LS10 4EP,Hassan's,"71 Thorpe Lane, Leeds"
LS9 0HL,Mr. Phung's,"4 Selby Avenue, Leeds"
LS28 7DF,The Shama,"37 Lowtown, Pudsey"
BD2 4HP,Flames,"1071 Bolton Road, Bradford"
BD18 2JR,Bobby'z,"1 Crag Road, Shipley"
BD3 7DN,Shandar,"3 Gain Lane, Bradford"
LS28 7AA,Red Fort,"40 Lowtown, Pudsey"
LS13 3HN,Fairfield House,"Fairfield Avenue, Leeds"
BD2 2HL,Popeye's,"45 Stony Lane, Bradford"
BD3 9TY,Mughals,"790-792 Leeds Road, Bradford"
BD2 3AX,The British Burrito,"89 Harrogate Road, Bradford"
LS15 7RN,Sizzlers,"11 Chapel Street, Whitkirk"
LS28 7RZ,Krunch @ munchies,"27 Chapeltown, Pudsey"
LS28 7LJ,B Medina,"45 Lidget Hill, Pudsey"
LS10 4AX,Caesar's,"Unit 6, Middleton District Centre, Leeds"
BD4 6NA,Pizza Corner,"435 Tong Street, Bradford"
LS28 7RZ,Munchies,"27 Chapeltown, Pudsey"
LS10 3ST,Sully's Balti Ranch,"34A Middleton Park Road, Leeds"
BD3 7BU,China Red,"14 Wood Hall Avenue, Bradford"
M38 9LN,Work Shop Cafe,"9 Ridyard Street, Little Hulton, Manchester"
BL3 6PD,A Star Chippy,"289 Lever Street, Bolton"
BL1 1HA,Grill'n'Greens,"119 Deansgate, Bolton"
BD4 6HS,Tong Fried Chicken,"2 Railway Street, Bradford"
BL2 1HY,Burger King,"Unit 6, Trinity Retail Park, Bolton"
LS10 4EP,Zahra,"69 Thorpe Lane, Leeds"
BL1 8HB,M T Bellys,"299 Blackburn Road, Bolton"
BL2 1BA,Papa Sam's,"142 Bradshawgate, Bolton"
BL3 3PZ,P's Hut,"250 St Helens Road, Bolton"
M26 3QP,Adan's Pizza N Grill,"305 Bolton Road, Manchester"
BL2 2NE,Red Spice,"318 Crompton Way, Bolton"
BL2 5JG,HotSpot Pizza,"27 Kentmere Road, Bolton"
